"","Input","MF.64p.Th.1","MF.64p.Th.2","MF.64p.Th.3","MF.64p.Th.4","MF.PC.03","MF.PC.04","MF.PC.05","MF.PC.06","p_value","fc","Input Type","Symbol","Name","Feature Type","Entrez Gene ID","dup"
"16","4833411C07Rik","48.34808521","46.10011313","51.99616947","65.022047","1","2.830839822",1,1.645226065,0.00111272012922486,32.653530476658,"current symbol","4833411C07Rik","RIKEN cDNA 4833411C07 gene","unclassified non-coding RNA gene",71624,FALSE
"17","4930404N11Rik","18.53632786","16.22860963","9.084758575","21.00688969","2.434887943","4.051399703",4.515753345,6.161808518,0.0148962472284144,3.77867364317031,"current symbol","4930404N11Rik","RIKEN cDNA 4930404N11 gene","protein coding gene",432479,FALSE
"18","4930430E12Rik","25.550859","15.05717812","22.14475319","17.67240807","1.717443972","4.661679643",1.585958891,5.516582453,0.00255331163412647,5.96552418596564,"current symbol","4930430E12Rik","RIKEN cDNA 4930430E12 gene","antisense lncRNA gene",71639,FALSE
"19","4930479D17Rik","9.768163928","3.34286302","8.462854069","5.001377938","1","1",2.757876672,1.645226065,0.0383779331944151,4.1503721003001,"current symbol","4930479D17Rik","RIKEN cDNA 4930479D17 gene","lincRNA gene",74925,FALSE
"20","4930512J16Rik","106.2179671","99.98596259","126.6247102","159.0544285","1","1",1,1,0.00274453665755721,122.9707670975,"current symbol","4930512J16Rik","RIKEN cDNA 4930512J16 gene","lincRNA gene",75131,FALSE
"21","4930526L06Rik","5.384081964","3.34286302","4.731427034","9.669652198","1","1",1.585958891,1,0.0416673256195486,5.04322536806621,"current symbol","4930526L06Rik","RIKEN cDNA 4930526L06 gene","antisense lncRNA gene",75138,FALSE
"22","4930597L12Rik","2.753632786","3.34286302","4.731427034","5.001377938","1","1",1,1,0.0120497788981662,3.9573251945,"current symbol","4930597L12Rik","RIKEN cDNA 4930597L12 gene","unclassified non-coding RNA gene",75385,FALSE
"23","4930599N23Rik","38.70310489","37.90009256","25.87618023","22.34068233","6.739551773","3.441119762",4.515753345,10.03316491,0.0058987439974112,5.0473971088867,"current symbol","4930599N23Rik","RIKEN cDNA 4930599N23 gene","antisense lncRNA gene",75379,FALSE
"24","4931431B13Rik","14.15224589","10.95716783","24.01046671","22.34068233","1","1",1,1,0.0127814342821248,17.86514069,"current symbol","4931431B13Rik","RIKEN cDNA 4931431B13 gene","unclassified non-coding RNA gene",70973,FALSE
"25","4933424M12Rik","88.68163928","107.0145517","112.942811","99.7006558","3.869775887","1.610279941",7.445547799,7.452260647,0.000158616785124356,20.0383932432506,"current symbol","4933424M12Rik","RIKEN cDNA 4933424M12 gene","lincRNA gene",67548,FALSE
"26","4933430I17Rik","10.64498032","4.51429453","7.219045057","11.00344484","1.717443972","1",1,2.935678194,0.0181760248364009,5.01745855766689,"current symbol","4933430I17Rik","RIKEN cDNA 4933430I17 gene","protein coding gene",214106,FALSE
"27","4933431E20Rik","9.768163928","15.05717812","6.597140552","9.002755875","1","2.220559881",1,1,0.0145214694082079,7.74346801808095,"current symbol","4933431E20Rik","RIKEN cDNA 4933431E20 gene","antisense lncRNA gene",329735,FALSE
"28","5033406O09Rik","9.768163928","6.85715755","12.81618561","5.001377938","1","1",1,1,0.0211365653679917,8.6107212565,"current symbol","5033406O09Rik","RIKEN cDNA 5033406O09 gene","lincRNA gene",77675,FALSE
"29","5033421B08Rik","11.52179671","17.98575689","18.41332616","15.00482278","1","1",1,1.645226065,0.00259438721199538,13.5463165106476,"current symbol","5033421B08Rik","RIKEN cDNA 5033421B08 gene","antisense lncRNA gene",75990,FALSE
"30","5930403N24Rik","4.507265571","20.32861991","15.30380363","14.33792646","1.717443972","1.610279941",1,1.645226065,0.0349530436265417,9.12072188309895,"current symbol","5930403N24Rik","RIKEN cDNA 5930403N24 gene","unclassified non-coding RNA gene",100040846,FALSE
"31","6330403L08Rik","10.64498032","9.20002057","25.25427572","15.6717191","5.30466383","1",1,1,0.0314599531433356,7.31769484641499,"current symbol","6330403L08Rik","RIKEN cDNA 6330403L08 gene","antisense lncRNA gene",70744,FALSE
"32","9130015G15Rik","1.876816393","7.442873305","4.109522529","6.335170584","1","1",1,1,0.0496033128099843,4.94109570275,"current symbol","9130015G15Rik","RIKEN cDNA 9130015G15 gene","antisense lncRNA gene",108167511,FALSE
"33","9330175E14Rik","57.99306553","64.84301729","42.66760188","50.3503279","17.50121135","12.59531887",1,19.71155588,0.000682848011953391,4.24841849337049,"current symbol","9330175E14Rik","RIKEN cDNA 9330175E14 gene","lincRNA gene",320377,FALSE
"34","9830144P21Rik","28.18130818","32.04293501","38.93617485","30.34343821","12.47910355","10.15419911",6.859588908,10.03316491,0.000634069376070139,3.27641732541877,"current symbol","9830144P21Rik","RIKEN cDNA 9830144P21 gene","unclassified non-coding RNA gene",414086,FALSE
"35","9930022D16Rik","8.014531142","5.100010285","2.865713517","5.668274261","1","1",1,1,0.0250684831065679,5.41213230125,"current symbol","9930022D16Rik","RIKEN cDNA 9930022D16 gene","protein coding gene",320509,FALSE
"36","A430057M04Rik","9.768163928","9.785736325","6.597140552","7.66896323","2.434887943","1",1.585958891,1,0.00121412204897048,5.61715070445188,"current symbol","A430057M04Rik","RIKEN cDNA A430057M04 gene","antisense lncRNA gene",319486,FALSE
"37","A530076I17Rik","70.26849503","37.90009256","55.7275965","57.01929113","2.434887943","1",2.757876672,1.645226065,0.00397037939153626,28.1852179007694,"current symbol","A530076I17Rik","RIKEN cDNA A530076I17 gene","lincRNA gene",320367,FALSE
"38","A630012P03Rik","12.39861311","6.85715755","21.52284869","20.33999337","1","1.610279941",8.61746558,1,0.0297068042550779,4.99835498007663,"current symbol","A630012P03Rik","RIKEN cDNA A630012P03 gene","antisense lncRNA gene",100504594,FALSE
"39","A730020E08Rik","12.39861311","17.98575689","15.30380363","8.335859552","1","2.220559881",1,1,0.00887551877535449,10.3483217151896,"current symbol","A730020E08Rik","RIKEN cDNA A730020E08 gene","bidirectional promoter lncRNA gene",100504262,FALSE
"40","A830008E24Rik","20.28996064","12.12859934","22.7666577","27.0089566","1","2.830839822",1,1,0.00808750065137955,14.096455534566,"current symbol","A830008E24Rik","RIKEN cDNA A830008E24 gene","lincRNA gene",414092,FALSE
"41","A930006K02Rik","15.90587868","25.60006171","34.58284331","18.3393044","3.152331915","4.051399703",10.96130114,4.226130324,0.0163751117448285,4.2172033562611,"current symbol","A930006K02Rik","RIKEN cDNA A930006K02 gene","unclassified non-coding RNA gene",100503120,FALSE
"42","AA414768","18.53632786","12.12859934","7.219045057","9.669652198","1","1",1,1,0.020773808932241,11.88840611375,"current symbol","AA414768","expressed sequence AA414768","pseudogene",245350,FALSE
"43","AA467197","221.0809146","162.6575484","126.0028057","115.7061675","1","1",1,1,0.00731373519393647,156.36185905,"current symbol","AA467197","expressed sequence AA467197","protein coding gene",433470,FALSE
"44","Abca1","2144.81608","1768.690149","2132.266741","2060.375845","569.9330695","664.3742953",672.5088888,426.8492027,2.93813646798095e-05,3.47356935550317,"current symbol","Abca1","ATP-binding cassette, sub-family A (ABC1), member 1","protein coding gene",11303,FALSE
"45","Abca5","20.28996064","28.52864048","10.32856759","13.67103014","1","1",1,2.290452129,0.0241641770835739,13.7640785842937,"current symbol","Abca5","ATP-binding cassette, sub-family A (ABC1), member 5","protein coding gene",217265,FALSE
"46","Abcb4","77.28302617","106.4288359","56.97140552","53.01791319","7.456995745","6.492519465",1.585958891,1,0.0101050876101475,17.7618844785489,"current symbol","Abcb4","ATP-binding cassette, sub-family B (MDR/TAP), member 4","protein coding gene",18670,FALSE
"47","Abcc3","1551.211382","1909.847646","2068.832482","2442.507438","257.1274979","226.803578",255.3061586,262.3165562,0.00249613754910904,7.96003072628578,"current symbol","Abcc3","ATP-binding cassette, sub-family C (CFTR/MRP), member 3","protein coding gene",76408,FALSE
"48","Abcg1","8543.822115","9446.252265","7700.799685","8385.887468","724.9009674","600.9051815",859.429775,734.6220356,0.000167563609226022,11.6706915218696,"current symbol","Abcg1","ATP binding cassette subfamily G member 1","protein coding gene",11307,FALSE
"49","Abcg3","709.4676454","922.9165984","834.3520377","913.3141698","223.4076312","206.05406",335.5825266,186.8251066,0.000114936499933652,3.5509605831983,"current symbol","Abcg3","ATP binding cassette subfamily G member 3","protein coding gene",27405,FALSE
"50","Abhd15","258.7840195","230.600576","326.2560565","365.1253923","16.06632341","13.20559881",3.929794454,13.25929523,0.00257157372239795,25.4141267250002,"current symbol","Abhd15","abhydrolase domain containing 15","protein coding gene",67477,FALSE
"51","Abhd17c","179.8705441","194.2861991","93.66377135","67.6896323","23.24076312","22.97007786",30.29794454,15.19497342,0.0375622592983656,5.83956593535467,"macaque, rhesus symbol","Abhd17b","abhydrolase domain containing 17B","protein coding gene",226016,TRUE
"52","Abhd17c","179.8705441","194.2861991","93.66377135","67.6896323","23.24076312","22.97007786",30.29794454,15.19497342,0.0375622592983656,5.83956593535467,"current symbol","Abhd17c","abhydrolase domain containing 17C","protein coding gene",70178,TRUE
"53","Abhd6","92.18890485","121.0717298","101.7485299","72.35790656","9.60932766","31.51399703",22.09452007,26.16381652,0.00216263779236389,4.33385400945414,"current symbol","Abhd6","abhydrolase domain containing 6","protein coding gene",66082,FALSE
"54","Abr","1284.659199","1187.074404","1473.047965","1575.542218","281.5205929","270.1334538",277.5725965,247.4763567,0.00101186833217749,5.12706269650285,"current symbol","Abr","active BCR-related gene","protein coding gene",109934,FALSE
"55","Acot1","37.8262885","45.51439738","51.99616947","36.34550512","4.587219858","5.271959584",1,2.935678194,0.00102264543307095,12.4453883468841,"current symbol","Acot1","acyl-CoA thioesterase 1","protein coding gene",26897,TRUE
"56","Acot1","37.8262885","45.51439738","51.99616947","36.34550512","4.587219858","5.271959584",1,2.935678194,0.00102264543307095,12.4453883468841,"human symbol","Acot3","acyl-CoA thioesterase 3","protein coding gene",171281,TRUE
"57","Acot11","66.76122946","46.68582889","48.88664694","75.02549185","12.47910355","16.25699851",3.929794454,2.935678194,0.00213552953875963,6.66709826986005,"current symbol","Acot11","acyl-CoA thioesterase 11","protein coding gene",329910,FALSE
"58","Acot7","93.94253764","77.14304815","60.70283255","61.02066907","2.434887943","2.220559881",4.515753345,8.742712776,0.0025683268889673,16.3453440889017,"current symbol","Acot7","acyl-CoA thioesterase 7","protein coding gene",70025,FALSE
"59","Acp2","1601.189917","1680.832785","1818.82687","1905.655898","307.3485759","318.3455691",413.5150591,311.3537371,5.89655001354739e-05,5.18784075607361,"current symbol","Acp2","acid phosphatase 2, lysosomal","protein coding gene",11432,FALSE
"60","Acp5","5788.865009","5390.756377","6260.46885","6945.391411","15.34887943","16.86727845",9.203424471,6.807034582,0.000361319875126591,505.643629966376,"current symbol","Acp5","acid phosphatase 5, tartrate resistant","protein coding gene",11433,FALSE
"61","Acsl3","66.76122946","116.9717195","79.98187223","61.02066907","8.891883688","15.03643863",6.273630017,6.807034582,0.00958530452191365,8.77450363578673,"current symbol","Acsl3","acyl-CoA synthetase long-chain family member 3","protein coding gene",74205,FALSE
"62","Acss1","598.9887799","614.8301112","606.7349886","749.2576743","205.4715319","195.0690211",217.8047896,211.9889232,0.00102963997913258,3.09491208522398,"current symbol","Acss1","acyl-CoA synthetase short-chain family member 1","protein coding gene",68738,FALSE
"63","Actn1","143.0442556","110.5288462","113.5647155","93.03169257","2.434887943","9.543919167",2.171917782,2.935678194,0.00142299981380214,26.9319123254822,"current symbol","Actn1","actinin, alpha 1","protein coding gene",109711,FALSE
"64","Actr3b","138.6601737","80.07162692","75.00663618","69.02342494","4.587219858","1.610279941",1,4.871356388,0.0120877785962615,30.0576836876016,"current symbol","Actr3b","ARP3 actin-related protein 3B","protein coding gene",242894,FALSE
"65","Acvrl1","357.8642719","384.0581038","689.4482878","704.5756207","6.739551773","7.102799405",6.859588908,5.516582453,0.0112967777642724,81.4670727926329,"current symbol","Acvrl1","activin A receptor, type II-like 1","protein coding gene",11482,FALSE
"66","Ada","126.3847442","200.7290725","132.8437552","174.393044","10.32677163","34.56539673",20.92260229,16.48542555,0.00277863893838851,7.70776553628678,"current symbol","Ada","adenosine deaminase","protein coding gene",11486,FALSE
"67","Adam17","2155.337877","2420.006068","2690.115083","2825.972824","753.5987263","415.9903595",777.9814892,541.0542162,0.000130576648358453,4.05502343610986,"current symbol","Adam17","a disintegrin and metallopeptidase domain 17","protein coding gene",11491,FALSE
"68","Adam19","391.1832948","447.9011211","474.2693289","463.8260481","2.434887943","16.86727845",1,1,9.8403698389689e-05,83.4271857666078,"current symbol","Adam19","a disintegrin and metallopeptidase domain 19 (meltrin beta)","protein coding gene",11492,FALSE
"69","Adam22","330.6829637","330.7579701","499.1455091","477.8308709","9.60932766","19.91867816",15.64897227,21.00200801,0.00325043105464246,24.7573649938405,"current symbol","Adam22","a disintegrin and metallopeptidase domain 22","protein coding gene",11496,FALSE
"70","Adam33","132.5224589","218.3005451","233.5922851","177.0606293","3.152331915","1.610279941",6.859588908,1,0.00364849226538427,60.3283003207982,"current symbol","Adam33","a disintegrin and metallopeptidase domain 33","protein coding gene",110751,FALSE
"71","Adamdec1","552.5175111","399.2867134","760.967306","933.9879558","1","12.59531887",1,1,0.0111482600237731,169.714996427002,"current symbol","Adamdec1","ADAM-like, decysin 1","protein coding gene",58860,FALSE
"72","Adamts6","8.891347535","12.12859934","20.90094418","18.3393044","9.60932766","1.610279941",1,1,0.0163658174570904,4.55839517130914,"current symbol","Adamts6","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6","protein coding gene",108154,FALSE
"73","Adap2","1339.898632","1827.84744","1936.366822","2097.722039","239.9088426","188.9662217",187.9208862,210.698471,0.00219702416259618,8.70318245764754,"current symbol","Adap2","ArfGAP with dual PH domains 2","protein coding gene",216991,FALSE
"74","Adap2os","433.2704816","582.0300289","605.4911796","631.2170252","56.96062979","71.18219316",46.11883459,73.26531925,0.00127398632080706,9.09803345277629,"current symbol","Adap2os","ArfGAP with dual PH domains 2, opposite strand","antisense lncRNA gene",105242792,FALSE
"75","Adcy3","212.3127507","264.5720897","320.6589159","332.4474725","18.93609929","11.37475899",24.43835563,22.29246014,0.0022966366985599,14.6672725214491,"human synonym","Adcy8","adenylate cyclase 8","protein coding gene",11514,TRUE
"76","Adcy3","212.3127507","264.5720897","320.6589159","332.4474725","18.93609929","11.37475899",24.43835563,22.29246014,0.0022966366985599,14.6672725214491,"current symbol","Adcy3","adenylate cyclase 3","protein coding gene",104111,TRUE
"77","Adgrg1","55.36261635","53.12870219","48.88664694","65.68894333","1","1",1,1,0.000601440772402815,55.7667272025,"current symbol","Adgrg1","adhesion G protein-coupled receptor G1","protein coding gene",14766,FALSE
"78","Adgrg3","288.5957768","299.715035","379.1179395","462.4922555","1","9.543919167",1,1.645226065,0.00307169536679036,108.416503241671,"current symbol","Adgrg3","adhesion G protein-coupled receptor G3","protein coding gene",54672,FALSE
"79","Adgrg5","275.4435309","313.1864974","307.5989213","378.4633188","1","1",1,1,0.000681464224942936,318.6730671,"current symbol","Adgrg5","adhesion G protein-coupled receptor G5","protein coding gene",382045,FALSE
"80","Adgrl2","48.34808521","56.64299672","95.52948487","69.69032126","1","2.830839822",1,1,0.00761683829345814,46.3416756948944,"current symbol","Adgrl2","adhesion G protein-coupled receptor L2","protein coding gene",99633,FALSE
"81","Adgrl3","28.18130818","8.02858906","18.41332616","39.01309041","2.434887943","1.610279941",1,2.290452129,0.0471825291049118,12.7646079873358,"current symbol","Adgrl3","adhesion G protein-coupled receptor L3","protein coding gene",319387,FALSE
"82","Adora1","20.28996064","8.02858906","20.90094418","8.335859552","1","1",1,1,0.0334933476521012,14.388838358,"current symbol","Adora1","adenosine A1 receptor","protein coding gene",11539,FALSE
"83","Adpgk","755.9389142","675.7445497","568.7988137","651.2239149","210.4936397","191.4073414",199.640064,215.2150535,0.00109249768402836,3.24663164076189,"current symbol","Adpgk","ADP-dependent glucokinase","protein coding gene",72141,FALSE
"84","Afmid","45.71763603","47.8572604","66.92187761","78.35997346","9.60932766","5.271959584",13.8910956,10.03316491,0.0062402445082184,6.15522164547669,"current symbol","Afmid","arylformamidase","protein coding gene",71562,FALSE
"85","Afp","14.15224589","19.1571884","19.03523067","9.669652198","3.869775887","2.220559881",1,1,0.00677134155958611,7.66523404421452,"current symbol","Afp","alpha fetoprotein","protein coding gene",11576,TRUE
"86","Afp","14.15224589","19.1571884","19.03523067","9.669652198","3.869775887","2.220559881",1,1,0.00677134155958611,7.66523404421452,"human synonym","Trim26","tripartite motif-containing 26","protein coding gene",22670,TRUE
"87","Ahnak2","33.44220653","35.55722954","49.50855145","27.0089566","7.456995745","5.882239524",1,1.645226065,0.00394679673694696,9.10365016870953,"current symbol","Ahnak2","AHNAK nucleoprotein 2","protein coding gene",100041194,FALSE
"88","Ahr","86.0511901","162.0718326","134.0875642","107.0365153","11.0442156","4.051399703",3.343835563,9.387938841,0.00561636478381888,17.5814946120128,"current symbol","Ahr","aryl-hydrocarbon receptor","protein coding gene",11622,FALSE
"89","AI427809","144.7978884","118.7288668","163.317076","176.3937329","8.174439717","7.713079346",24.43835563,7.452260647,0.000722554477949833,12.6258080146332,"current symbol","AI427809","expressed sequence AI427809","lincRNA gene",381524,FALSE
"90","AI504432","14.15224589","29.70007199","37.07046133","15.00482278","1","1",1,1,0.026633953129671,23.9819004975,"current symbol","AI504432","expressed sequence AI504432","lincRNA gene",229694,FALSE
"91","Aif1","3228.561142","2936.607364","2347.4457","2289.121284","82.0711688","93.15227102",119.3636959,76.49144957,0.00143093976711693,29.1090241210184,"current symbol","Aif1","allograft inflammatory factor 1","protein coding gene",11629,FALSE
"92","Ak2","1374.094471","1506.28949","1455.634639","1592.881523","249.9530582","242.6708564",363.1225945,278.4472078,3.80882907951736e-06,5.22741400755153,"current symbol","Ak2","adenylate kinase 2","protein coding gene",11637,FALSE
"93","Alas1","1564.363628","1351.074815","1072.541463","1194.744418","270.0414894","300.6474508",292.2215687,313.2894153,0.00240229059076512,4.40632941506527,"current symbol","Alas1","aminolevulinic acid synthase 1","protein coding gene",11655,FALSE
"94","Aldh1b1","245.6317736","297.9578878","400.2626927","433.1488173","27.54542695","40.05791619",32.6417801,27.45426865,0.00550441336435283,10.7831458789259,"current symbol","Aldh1b1","aldehyde dehydrogenase 1 family, member B1","protein coding gene",72535,FALSE
"95","Alkbh2","58.86988192","57.81442823","57.59331002","79.69376611","17.50121135","4.051399703",9.789383362,15.19497342,0.000538443979855183,5.45741156107276,"current symbol","Alkbh2","alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase","protein coding gene",231642,FALSE
"96","Als2cr12","29.05812457","14.47146236","17.16951715","13.00413381","2.434887943","7.713079346",2.171917782,2.290452129,0.0209159115583711,5.04459526710992,"current symbol","Als2cr12","amyotrophic lateral sclerosis 2 chromosome region 12","protein coding gene",108812,FALSE
"97","Amacr","202.6677703","160.9004011","171.4018346","170.391666","54.80829788","33.95511679",61.93972464,58.42511976,6.51255166740204e-05,3.37286636983813,"current symbol","Amacr","alpha-methylacyl-CoA racemase","protein coding gene",17117,FALSE
"98","Amdhd2","926.0412944","962.7452697","876.0196396","889.3059022","153.815566","212.7671394",200.8119818,179.7276199,4.10321649325993e-07,4.89091554511825,"current symbol","Amdhd2","amidohydrolase domain containing 2","protein coding gene",245847,FALSE
"99","Amz1","1088.252327","1158.374332","1264.088051","1444.830539","2.434887943","1",2.171917782,5.516582453,0.000536723437126919,445.506815881977,"current symbol","Amz1","archaelysin family metallopeptidase 1","protein coding gene",231842,FALSE
"100","Ang","150.0587868","173.200432","173.2675481","181.7289035","6.739551773","26.6317575",13.8910956,9.387938841,5.55177993126032e-06,11.9726664647294,"rat synonym","Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","protein coding gene",11606,TRUE
"101","Ang","150.0587868","173.200432","173.2675481","181.7289035","6.739551773","26.6317575",13.8910956,9.387938841,5.55177993126032e-06,11.9726664647294,"synonym","Sapcd2","suppressor APC domain containing 2","protein coding gene",72080,TRUE
"102","Ang","150.0587868","173.200432","173.2675481","181.7289035","6.739551773","26.6317575",13.8910956,9.387938841,5.55177993126032e-06,11.9726664647294,"current symbol","Ang","angiogenin, ribonuclease, RNase A family, 5","protein coding gene",11727,TRUE
"103","Ang","150.0587868","173.200432","173.2675481","181.7289035","6.739551773","26.6317575",13.8910956,9.387938841,5.55177993126032e-06,11.9726664647294,"cattle symbol","Ang4","angiogenin, ribonuclease A family, member 4","protein coding gene",219033,TRUE
"104","Angpt4","36.07265571","44.34296587","43.9114109","31.67723086","1.717443972","1",1,1.645226065,0.00115472709690142,29.0907816933805,"current symbol","Angpt4","angiopoietin 4","protein coding gene",11602,FALSE
"105","Angptl4","129.8920097","145.6717915","116.6742381","100.3675521","22.52331915","52.87379494",46.70479348,30.68039898,0.000569866261719695,3.22423193184866,"current symbol","Angptl4","angiopoietin-like 4","protein coding gene",57875,FALSE
"106","Angptl7","120.2470294","101.1573941","164.560885","167.0571844","10.32677163","2.830839822",2.171917782,1.645226065,0.00349266929071635,32.5791142881794,"current symbol","Angptl7","angiopoietin-like 7","protein coding gene",654812,FALSE
"107","Ank2","240.3708752","241.1434595","270.9065555","204.4033785","27.54542695","26.6317575",30.29794454,20.35678194,0.000451822240967496,9.12722338276277,"current symbol","Ank2","ankyrin 2, brain","protein coding gene",109676,FALSE
"108","Ankrd13b","3.630449178","3.34286302","3.487618023","3.667585292","1","1",1,1,5.50077215510788e-05,3.53212887825,"current symbol","Ankrd13b","ankyrin repeat domain 13b","protein coding gene",268445,FALSE
"109","Anpep","170.2255638","157.9718223","158.34184","165.7233918","33.28497873","10.15419911",28.54006787,5.516582453,3.39915093696297e-05,8.41674491855317,"current symbol","Anpep","alanyl (membrane) aminopeptidase","protein coding gene",16790,FALSE
"110","Anxa5","6487.687674","6310.915829","6143.550803","6640.619791","719.1614156","992.7049033",1005.919498,999.8099482,9.13529639768923e-08,6.88153734657373,"current symbol","Anxa5","annexin A5","protein coding gene",11747,FALSE
"111","Ap1b1","1078.607347","1245.645979","1264.709956","1616.889791","191.1226525","306.1399703",230.1099263,245.5406785,0.00194456428677172,5.35078866780534,"current symbol","Ap1b1","adaptor protein complex AP-1, beta 1 subunit","protein coding gene",11764,FALSE
"112","Apbb2","65.88441307","91.78594202","89.93234432","153.0523616","3.152331915","5.271959584",3.929794454,1,0.0136435525812375,30.0024323956064,"current symbol","Apbb2","amyloid beta (A4) precursor protein-binding, family B, member 2","protein coding gene",11787,FALSE
"113","Apobec3","1323.23912","1377.432024","1927.660159","1972.345531","302.3264681","323.8380885",251.7904053,322.3225802,0.00420409150666485,5.49929212409614,"current symbol","Apobec3","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3","protein coding gene",80287,FALSE
"114","Apoc1","1129.462698","979.1453108","693.1797149","672.5645972","135.1620227","189.5765016",185.5770506,142.9497342,0.00745632320949442,5.31843995464354,"current symbol","Apoc1","apolipoprotein C-I","protein coding gene",11812,FALSE
"115","Apol7c","26.42767539","23.84291444","63.81235508","58.35308377","1.717443972","1",1,1,0.0277632688203478,36.5528514389317,"current symbol","Apol7c","apolipoprotein L 7c","protein coding gene",108956,FALSE
"116","Arap2","38.70310489","70.11445909","76.8723497","87.69652198","1.717443972","10.76447905",3.343835563,2.935678194,0.00774151983644342,14.5717217119536,"current symbol","Arap2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","protein coding gene",212285,FALSE
"117","Arap3","26.42767539","15.64289387","34.58284331","31.67723086","6.022107802","9.543919167",2.757876672,9.387938841,0.0115624142633084,3.90918227470315,"current symbol","Arap3","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3","protein coding gene",106952,FALSE
"118","Arhgap19","852.3887174","746.6161561","961.8424614","1132.056164","32.56753475","79.11583238",100.0270525,10.67839097,0.00118023763503138,16.6056173821724,"current symbol","Arhgap19","Rho GTPase activating protein 19","protein coding gene",71085,FALSE
